,relevancy,text
0,0,"Die Lleche, Fante  umt ja shoarz. de D fiunz ich
Warum so nachng schwarz?.— und lispelnd künd' ich ihr:
Mein Herz ist tränenleer, ein ausgedorrter See,
Und was dem Aug' entfließt, ist trauerdunkles Weh.
[Die Rückkehr des Grönlandforschers
Mikkelsen.] Aus Kopenhagen wird berichtet: Der
Nordpolforscher Kapitän Einar Mikkelsen und sein
Maschinist Iversen trafen, von Christiania kommend, im
Hafen von Kopenhagen ein, wo sich die Angehörigen
Mikkelsens und eine große Menschenmenge eingefunden
hatten. Der Justizminister bot den Forschern Willkommen,
worauf Kabinettssekretär Krieger beiden im Namen des
Königs die goldene Verdienstmedaille überreichte. Der
Kapitän des norwegischen Schiffes, der die Forscher, die zwei
Jahre lang im Innern Grönlands verschollen waren, auffand und nach Norwegen brachte, wird die silberne Verdienstmedaille erhalten. Heute abends gibt das Manineministerium zu Ehren der heimgekehrten Forscher ein Festessen."
1,0,"* Ueber die Kohlenlager auf Spitzbergen wird
deutschen Blättern aus Christiania geschrieben: In einer
Zeit, wo das Brennmaterial, insbesondere alles was Kohle heißt,
eine ungeahnte Preissteigerung aufweist, hat man alle Ursache,
neue Kohlenlager mit Genugthuung zu begrüßen,
selbst wenn sie in der Nachbarschaft des Nordpols liegen. Als
ein solches neues Kohlenland erweist sich Spitzbergen, auf
dem nun allen Ernstes ein Bergbaubetrieb bevorsteht. Man
wußte zwar längst, was Spitzbergen birgt, doch herrschte bis in
die jüngste Zeit hinein Unklarheit über die Abbauwürdigkeit der
dort vorhandenen Kohlenflötze, bis die Frage endlich in diesem
Sommer ihre Lösung fand. Angeregt durch den erstaunlichen Kohlenreichthum der Bäreninsel, den
einige deutsche Spekulanten in Beschlag nahmen, sind in
Norwegen verschiedene Gesellschaften entstanden, die sich die
Ausbeutung der spitzbergischen Kohlenfelder zur Aufgabe
stellten und zu diesem Zweck letzten Sommer vorbereitende
Expeditionen nach Spitzbergen sendeten. Eine der zuletzt heimgekehrten Expeditionen kann nach ihrem dreieinhalbmonatlichen
Aufenthalt auf Spitzbergen, wie einer der Theilnehmer, Ingenieur
Nilson, berichtet, auf außerordentlich gute Ergebnisse zurückblicken. Es wurden an verschiedenen Punkten des Eisfjords große,
steinkohlenführende Gebiete nach berühmtem Muster in Besitz genommen und eingehegt sowie ein Versuchsbergbau betrieben und
alles zum Bergwerksbetrieb für nächstes Jahr vorbereitet. Auf dem
Eigenthum der Gesellschaft hat man Arbeiterwohnungen errichtet
und diese mit Proviant und Geräthen versehen. Das Expeditionsschiff, der „Gotfred“, brachte eine Ladung von 1000 Hektoliter Kohlen mit. Kohlenadern, in der Regel in süd=nördlicher
Richtung gehend, finden sich über der Wasserlinie in einer Anzahl
von drei zu 1·72 bis 3 Meter Dicke. Ein Theil der Kohlen ist besser
als die allgemeine Sorte, und in Green Harbour, am
Eingang zum Eisfjord, kommen auch Schmiedekohlen vor.
Was die Mächtigkeit der Kohlenflötze betrifft, so reichen diese nach
dem Bericht der Expedition hin, den Bedarf des nördlichen Norwegen
für eine unbegrenzte Zeit zu decken. Auch die sonstigen Verhältnisse liegen für einen Grubenbetrieb, und zwar das ganze Jahr
hindurch günstig. Dagegen machen die Hafenverhältnisse es nöthig,
daß die Verschiffung durch Vermittlung von Leichtern erfolgt, und
die Bollwerke, die zu Verladungszwecken zu errichten sind, müssen
jeden Winter wieder weggenommen werden, da sie sonst durch
 das Eis zerstört werden würden. Indessen verursacht dies keine
allzu großen Kosten, Die hier in Rede stehende Gesellschaft will
nun im nächsten Frühjahr ein größeres Schiff nach Spitzbergen
senden und den Bergwerksbetrieb mit einer Arbeitsstärke von
30 Mann aufnehmen lassen. Es soll darauf eine Ueberwinterung stattfinden, so daß also ununterbrochener
Betrieb vor sich gehen würde. Ueberwinterungen auf Spitzbergen kommen übrigens neuerdings immer mehr in Schwang.
So ist der norwegische Eismeerschiffer Hagerny, der schon
vorigen Winter sein Heim auf Spitzbergen aufschlug, mit seinen"
2,0,"(Nächtliche Ruhestörer.) Aus Lana berichtet man uns: Vom 13. auf den 14. d. M.
um 1 Uhr nachts wurden die Bewohner von
Oberlana durch einen ohrenbetäubenden Lärm
aus ihrem Schlafe geweckt. Etwa 25 bis 30
vermummte Burschen erschienen, mit allen möglichen Instrumenten (Bockhörner, Hafendeckeln,
Kannen und Kuhschellen usw.) ausgerüstet, vor
einem Bauernhofe in Oberlana, um dem vor
einigen Tagen von der Hochzeitsreise heimgekehrten Ehepaar eine Katzenmusik zu veranstalten. Glücklicherweise war das „Konzert“ nicht
von langer Dauer, da die Burschen durch die
Gendarmerie und Sicherheitswache bis auf einige,
welche festgenommen werden konnten und die
sich nun wegen nächtlicher Ruhestörung zu verantworten haben werden, versprengt wurden."
3,3,"Die Regierung in Polen.
Warschan, 23. Oktober. Das neue Kabinett wurde
gestern gebildet. Es zählt vierzehn Mitglieder. Das Portefeuille
für Finanzwesen sowie die Posten der Minister ohne Portefeuille für Galizien und Posen sind noch nicht vergeben. Als Kriegsminister ist Pilsudski vorgesehen. Aus
dem alten Kabinett blieben Justizminister Higersberger und
Unterrichtsminister Ponikowski, die aber ausdrücklich als reine
Fachminister bezeichnet sind. Es haben übernommen: den
Vorsitz: Swierzynski; Aeußeres: Glombinski (Galizier);
Inneres: Chizanowski; Landwirtschaft: Ladislaw Grabski;
Handel und Industrie: Wierzbicki; Arbeit und soziale Fürsorge: Wolczynski; Verkehrsministerium: Paszkowski; Ernährungswesen: Minkiewicz. Landwirtschaftsainister Grabski
ist der jüngst freigelassene ehemalige Vorstand des zentralen
polnischen Bürgercomités in Petersburg, der im April als
Rückwanderer nach Warschau zurückkehrte, Ende Mai aber
wegen seiner nationaldemokratischen Agitalion interniert
werden mußte."
4,3,"sitzsteuer — wäre den Ländern und den Gemeinden zuzuweisen,
dafür die Umlagenwirtschaft einzustellen; 5. die staatlichen Organe
hätten die Grund= und allgemeine Erwerbsteuer evident zu
halten, und diese eventuell auch einzuheben, letzteres
aber nur auf Beschluß der Länder und Gemeinden.
(Diese Anträge werden von den Antragstellern als
Minoritätsvota angemeldet.) Dann ein Antrag der Abgeordneten
Dr. Viskovsky, Dr. Funk, Dr. Hruban, wonach die
durch die Steuererhöhung und den Kriegszuschlag verursachte
Mehrbelastung bei verpachteten Grundstücken vom Pächter dem
Grundbesitzer auch in dem Falle zu ersetzen ist, als durch den
Pachtvertrag der Besitzer die Zahlung der Steuer übernommen
ihat, schließlich ein Antrag der Abgeordneten Dr. Viskovsky
sund Jarc, wonach die Regierung aufgefordert wird, eine zeitgemäße Bodenreform ins Auge zu fassen und insbesondere dafür
Sorge zu tragen, daß der erforderliche Grund und Boden behufs Ansiedlung heimkehrender Krieger und Rückwanderer sowie zur Versorgung Kriegsbeschädigter nach Bedarf auch durch
Enteignung großerer Kirchengüter und sonstiger Latifundien
sowie durch Aufhebung des Fideikommißbandes gesichert werde,
und ein Antrag zur Hebung der Bodenproduktion entsprechende
Maßnahmen einzuleiten."
5,3,"Zu den Forderungen, deren Befriedigungsfonds in den
sechs Milliarden gegeben ist, gehört auch der Ersatzanspruch
für alle Schäden, die während des Krieges von russischen
staatlichen Organen oder der Bevölkerung durch völkerrechtswidrige Handlungen an diplomatischen und konfulerischen
Beamten Deutschlands oder an Botschafts= oder Konsulatsgebäuden oder an deren Inventar angerichtet wurden. Ferner
gehören dazu die bereits erwähnten Ansprüche ggen den russischen Saat aus dem öffentlichen Schuldendienste. Diese Ansprüche dürften sich nicht nur auf die fällig gewordenen
Zinsen, sondern auch auf die Kapitalssummen selbst beziehen.
Der Pauschalbetrag wird auch zur Befriedigung jener Ansprüche bestimmt sein, welche aus der Beeinträchtigung der
Urheberrechte, gewerblichen Schutzrechte, Konzessionen und
Privilegien sowie ähnlicher Ansprüche auf öffentlich rechtlicher
Grundlage durch die Kriegsgesetze Rußlands sich ergeben.
Hieher gehören auch die Entschädigungen für Konzessionen,
Privilegien und ähnliche Ansprüche auf öffentlich rechtlicher
Grundlage, welche auf Grund einer für alle Landeseinwohner
geltenden Gesetzgebung durch die russische Republik abgeschafft worden sind; ebenso die Entschädigungen für Grundtücke oder Rechte an Grundstücken, Bergwerksgerechtsame
owie Rechte auf die Benützung oder Ausbeutung von Grundtücken, Unternehmungen oder Beteiligungen an einem
Unternehmen, insbesondere Aktien, die infolge
von Kriegsgesetzen veräußert oder den Be
rechtigten sonst durch Zwang entzogen worden sind.
Ferner sind inbegriffen der Ersatz jedes Schadens, welcher
deutschen Staatsdürgern durch völkerrechtswidrige Gewaltakte seitens der russischen stagtlichen Organe oder seitens
der russischen Bevölkerung an Leben, Gesundheit oder Vermögen zugefügt wurde. Durch die Pauschalfumme werden
überdies die Aufwendungen befriedigt, welche Deutschland
für die russischen Kriegsgefangenen gemacht hat. Weiter
dürften darin die Entschädigungen für die Internierten
und die Rückwanderer enthalten sein, endlich die Entschädigung für zurückbehaltene, benützte oder verlorene
Kauffahrteischiffe. Zu allen diesen bereits im deutschrussischen Zusatzvertrage von Brest=Litowsk grundsätzlich
festgelegten Ersatzansprüchen kommt noch die Vergütung
für die Verluste, die deutsche Staatsbürger — und ihnen
werden Perlenen und Unteruchten. deren"
6,3,"* Beweismaterial gegen die Kriegsgefangenen.
Der Kriegsminister hat an die Abgeordneten Pacher und
Hummer als Antwort auf eine Anfrage wegen der Behandlung
der aus der Kriegsgefangenschaft heimkehrenden Hochverräter
und Ueberläufer sowie der Mitglieder der „Druzina“, die
österreichische Staatsbürger sind und sich Ausschreitungen
gegen deutschösterreichische und ungarische Soldaten zu Schulden
kommen ließen, eine Mitteilung gerichtet, der wir folgendes
entnehmen: „Jeder Angehörige der bewaffneten Macht, der sich
bei oder nach der Gefangennahme eine strafbare Handlung
hat zu Schulden kommen lassen, wird diese nach der Rückkehr
in die Monarchie zu verantworten haben. Um die nötigen
Daten zur Ermittlung der Schuldigen zu gewinnen, wurde
bereits im Jahre 1915 verfügt, daß jeder aus der Kriegsgefangenschaft Heimkehrende über seine Wahrnehmungen über
das Verhalten der Angehörigen der eigenen Wehrmacht in der
Gefangenschaft befragt werde. Diese Vorschrift wird nach wie
vor gehandhabt, weshalb die Meinung, daß seit einiger
Zeit die protokollarische Einvernahme der Heimkehrer nicht
mehr stattfinde, auf irrtümlicher Information beruhen dürfte.
Durch die Einvernahme hat sich im Verlauf von nahezu
drei Jahren ein wertvolles Beweismaterial ergeben, das für die Prüfung des Verhaltens der Heimkehrenden
nunmehr gesammelt zur Verfügung steht. Wegen der Einleitung des Strafverfahrens wurde die Heimkehr der Beschuldigten nicht abgewartet, sondern, soweit es möglich war,
gleich nach Bekanntwerden einer strafbaren Handlung eines
in Kriegsgefangenschaft Geratenen das Strafverfahren im
Sinne des § 426 M.=St.=P.=O. zur Sicherstellung der Beweismittel veranlaßt, in dessen Zuge die gesetzlichen Bestimmungen
über Vermögensbeschlagnahme und Einstellung der Unterhaltsbeiträge zur Anwendung gebracht wurden. Es ist Vor
sorge getroffen, daß die Straffälligen tunlichst gleich bei der
ersten Präsentierung der Uebernahme aus der Gefangenschaft
festgestellt und dem Strasverfahren sowie der verdienten Strafe
zugeführt werden. Das Kriegsministerium als Verwaltungsbehörde muß sich darauf beschränken, das Beweismaterial in
weitest möglichem Umfang sicherzustellen und den zuständigen
Militärjustizbehörden zugänglich zu machen, denen die Durchführung des Strafverfahrens obliegt.“ Ob man daran dachte,
daß diese Ankündigungen viele Kriegsgefangene veranlassen
werden, in Rußland zu bleiben?"
7,3,"auf das schärfste zurückzuweisen.
Der Kriegsminister über die Behandlung von
heimkehrenden beschuldigten Gefangenen.
Der Kriegsminister hat an die Abgeordneten Pacher und
Hummer als Antwort auf eine Anfrage über die Behandlung der aus der Kriegsgefangenschaft heimkehrenden Hochverräter und Ueberläufer sowie der Mitglieder der „Druzina,
welche österreichische Staatsbürger sind und sich die schwersten
Ausschreitungen gegen deutschösterreichische und ungarische Soldaten zuschulden kommen ließen, ein Schreiben gerichtet, dem
wir folgendes entnehmen: „Jeder Angehörige der bewaffneten
Macht, der sich bei oder nach der Gefangennahme eine strafbare
Handlung hat zuschulden kommen lassen, wird diese nach der
Rückkehr in die Monarchie zu verantworten haben. Um
die nötigen Daten zur Ermittlung der Schuldigen zu gewinnen,
wurde bereits im Jahre 1915 verfügt, daß jeder aus der Kriegsgefangenschaft Heimkehrende über seine Wahrnehmungen bezüglich des Verhaltens der Angehörigen der eigenen Wehrmacht
in der Gefangenschaft befragt werde. Diese Vorschrift wird nach
wie vor gehandhabt, weshalb die Meinung, daß seit einiger Zeit
die protokollarische Einvernahme der Heimkehrer nicht mehr stattfinde, auf irrtümlicher Information
beruhen dürfte. Durch die Einvernahme hat sich im Verlaufe
von nahezu drei Jahren ein wertvolles Beweismaterial ergeben, welches für die Prüfung des Verhaltens
der Heimkehrenden nunmehr gesammelt zur Verfügung steht.
Hinsichtlich der Einleitung des Strafverfahrens wurde
die Heimkehr der Beschuldigten nicht abgewartet, sondern, soweit
es möglich war, gleich nach Bekanntwerden einer strafbaren
Handlung eines in Kriegsgefangenschaft Geratenen das Strafverfahren im Sinne des § 426 M. St. P. O. zur Sicherstellung
dr Beweismittel veranlaßt, in dessen Zuge die gesetzlichen Bestimmungen über Vermögensbeschlagnahme und Einstellung der
Unterhaltsbeiträge zur Anwendung gebracht wurden. Es ist
Vorsorge getroffen, daß die Straffälligen tunlichst gleich bei der
ersten Präsentierung gelegentlich der Uebernahme aus der Gefangenschaft festgestellt und dem Strafverfahren sowie der verdienten Strafe zugeführt werden. Das Kriegsministerium als
Verwaltungsbehorde muß sich darauf beschränken, das Beweismaterial im weitestmöglichen Umfange sicherzustellen und den
zuständigen Militärjustizbehörden zuganglich zu machen, denen
die Durchführung des Strafverfahrens obliegt.
Die Schanmweinsteuer und Zuckerstener angenommen.
Der Finanzausschuß hielt heute unter Vorsitz des
Obmannes Dr. v. Löwenstein und in Anwesenheit des
Finanzministers Dr. Freiherrn v. Wimmer eine Sitzung.
Nach dem Referat des Berichterstatters Miklas wurde die
Regierungsvorlage, betreffend die Schaumweinsteuer, an
genommen. Die im § 1 der Vorlage bestimmten Sätze
wurden auf Antrag des Abg. Dr. Steinhaus für wirklichen Schaumwein von 2 K. auf 5 K. für die Flasche, für
Fruchtschaumwein von 60 H. auf 80 H. erhöht."
8,3,"[Oesterreichisch=ungarische Natural=Verpflegsstation in Hamburg.] Heute tritt in Hamburg
die vom Oesterreichisch=ungarischen Hilfsvereine errichtete NaturalVerpflegsstation ins Leben. In derselben befinden sich vorläufig sechs
Betten, die aber bei dem starken Andrange hilfesuchender Oesterreicher
und Ungarn, insbesondere der Rückwanderer aus überseeischen Ländern,
beiweitem nicht ausreichend sind, die wünschenswerthe Vergrößerung
der Verpflegsstatton kann erst erfolgen, sobald der Verein die
dazu nöthigen Geldmittel aufzubringen in der Lage sein wird. Die
in der Verpflegsstation untergebrachten Landsleute und auch solche,
welche dort nicht untergebracht werden können, erhalten außerdem
eine einfache, aber ausreichende Nahrung (Frühstück, Mittag= und
Abendbrot), wogegen die Unterstützung bedürftiger Reisender mit
Bargeld von heute an eingestellt wurde."
9,0,"Prinz Heinrich in Friedrichsruh und Altona.
(Telegramm der „Neuen Freien Presse“.)
Hamburg, 8. December. Prinz Heinrich traf um
9½ Uhr Vormittags in Friedrichsruh zum Besuche
des Fürsten Bismarck ein. Der Besuch hatte einen äußerst
herzlichen Charakter. Der Fürst empfing seinen hohen Gast
im Rollstuhle sitzend, da er durch seine Beinschmerzen noch immer am Gehen und
Stehen verhindert ist. Der Prinz äußerte bei
der Begrüßung, er habe das Bedürfniß gehabt, vor seiner
Abreise nach China dem Fürsten Lebewohl zu sagen, und
sprach die Hoffnung aus, ihn durch seinen Besuch an so
frühem Morgen nicht in der Nachtruhe gestört zu haben.
Der Prinz blieb länger als zwei Stunden im Schlosse. Beim
Frühstück war der Fürst in bester Laune und hob selbst
hervor, daß ihm zur Feier des Tages Schweninger
einen Dispens von den sonst sehr strengen Diätregeln
gewährt habe. Beim Abschied sagte Prinz Heinrich: „Ich
darf doch auch die Stirne berühren, die mein Großvater
so oft geküßt hat?“ und küßte den Fürsten auf Stirn und
Wangen. Der Fürst wünschte gerührt dem Prinzen gule
Fahrt, guten Erfolg und gute Heimkehr. Bei Professor
Schweninger erkundigte sich der Prinz genau nach dem
Gesundheitszustande des Fürsten. Die Auskunft, die er erhielt, war durchaus tröstlich: Wenn
auch das Leiden nicht von heute auf morgen zu beseitigen
wäre, so sei doch begründete Hoffnung auf
völlige Wiederherstellung in absehbarer Zeit.
(Telegramm des Correspondeuz=Burcau.)
Altona, 8. December. Prinz Heinrich von
Preußen stattete Nachmittags, von Friedrichsruh kommend, dem General=Obersten Grafen Waldersee einen
einstündigen Besuch ab. Vor seiner Abreise begrüßte der
Prinz das auf dem Perron aufgestellte Officierscorps. Auf
die Ansprache des Grafen Waldersee, welcher dem Prinzen
gutes Soldatenglück wünschte, dankte Prinz Heinrich für
dessen freundliche Worte und sagte, er danke dem Kaiser
für das Vertrauen, das dieser in ihn setze. Im Namen des
Kaisers, zu seiner Ehre und zur Ehre des Vaterlandes
werde er seines Amtes walten. Der Prinz schloß mit einem
Hoch auf den Kaiser, in welches die Officiere kräftig einstimmten. Der Prinz reiste sodann nach Kiel ab."
